Junio C Hamano (3983):
Shawn O. Pearce (1211):
Linus Torvalds (1036):
Michal Marek (1):
Jonas Flodén (1):
Dmitry Kakurin (1):
Michal Vitecek (1):
Zack Brown (1):
Chris Ridd (1):
Mika Kukkonen (1):
Jon Jensen (1):
Alexandre Vassalotti (1):
Chris Parsons (1):
John J. Franey (1):
Mike Pape (1):
Terje Sten Bjerkseth (1):
Tero Roponen (1):
Miles Bader (1):
Mukund (1):
Gordon Hopper (1):
Nate Case (1):
Nazri Ramliy (1):
Neil Roberts (1):
Carlos Manuel Duclos Vergara (1):
Carlo Marcelo Arenas Belon (1):
Nico -telmich- Schottelius (1):
Thomas Arcila (1):
CJ van den Berg (1):
Nikolaj Schumacher (1):
Nikolaus Schulz (1):
Wu Fengguang (1):
Olaf Hering (1):
Bryan Drewery (1):
P. Christeas (1):
Panagiotis Issaris (1):
Thomas Guyot-Sionnest (1):
John Goerzen (1):
John Ellson (1):
Doug Maxey (1):
Pat Notz (1):
Douglas Stockwell (1):
Thomas Harning (1):
Johannes Gilger (1):
Thomas Jarosch (1):
Paul Bolle (1):
Glenn Rempe (1):
Paul Eggert (1):
Paul Jakma (1):
Paul Jarc (1):
Brian M. Carlson (1):
Paul Oliver (1):
Ian Katz (1):
Paul T Darga (1):
Paul Talacko (1):
Brian Gerst (1):
Pedro Melo (1):
Frank Sorenson (1):
Adam Piątyszek (1):
Joerg Bornemann (1):
Joe Perches (1):
Thomas Zander (1):
Ian Hilt (1):
YONETANI Tomokazu (1):
Joe English (1):
Jochen Voss (1):
Peter Oberndorfer (1):
Joakim Tjernlund (1):
Alex Bennee (1):
Timo Sirainen (1):
Phil Lawrence (1):
Philipp A. Hartmann (1):
Dévai Tamás (1):
Toby Allsopp (1):
Boris Byk (1):
Bob Proulx (1):
Pini Reznik (1):
Qingning Huo (1):
Blake Ramsdell (1):
Jerald Fitzjerald (1):
eric miao (1):
Tom Clarke (1):
Bill Pemberton (1):
Jeff Hobbs (1):
Randy Dunlap (1):
Raphael Zimmerer (1):
Ray Chuan (1):
Reece H. Dunn (1):
Giovanni Funchal (1):
Huw Davies (1):
Richard MUSIL (1):
Tomash Brechko (1):
Jeff Garzik (1):
Robert Blum (1):
Robert Boone (1):
Robert Ewald (1):
Elrond (1):
Tommi Kyntola (1):
Bernd Ahlers (1):
Robert Suetterlin (1):
Robert Watson (1):
Benjamin Sergeant (1):
Elvis Pranskevichus (1):
Rocco Rutte (1):
Rogan Dawes (1):
Roland Dreier (1):
Romain Francoise (1):
Roy Lee (1):
Janos Laube (1):
Ben Clifford (1):
Alejandro Mery (1):
Bart Trojanowski (1):
Eugene Letuchy (1):
Geoffrey Irving (1):
Sam Ravnborg (1):
Tony Kemp (1):
Sami Farin (1):
Jan Veldeman (1):
Aurelien Bompard (1):
Santiago Gala (1):
Jan Andres (1):
Scott Chacon (1):
Scott Collins (1):
Herbert Xu (1):
Arto Jonsson (1):
Art Haas (1):
Sebastian Kuzminsky (1):
Herbert Valerio Riedel (1):
Sebastian Pipping (1):
Sebastian Schuberth (1):
Harri Ilari Tapio Liusvaara (1):
Serge van den Boom (1):
Han Boetes (1):
Haavard Skinnemoen (1):
Twiinz (1):
Ulrich Windl (1):
Andrew Clausen (1):
Shun Kei Leung (1):
Jamis Buck (1):
Ulrik Sverdrup (1):
Uwe Kleine-K,Av(Bnig (1):
Fred Maranhão (1):
James Y Knight (1):
Soeren Finster (1):
Frederick Akalin (1):
Jacob Helwig (1):
Erik Broes (1):
Fabian Franz (1):
Andreas Färber (1):
Kevin Green (1):
Kevin Leung (1):
Kevin McConnell (1):
Kirill (1):
Vincent Zanotti (1):
Frederik Schwarzer (1):
Iñaki Arenaza (1):
Konstantin V. Arkhipov (1):
Kris Shannon (1):
Kristian Amlie (1):
Dave Watson (1):
Kristof Provost (1):
Krzysztof Kowalczyk (1):
Kumar Gala (1):
Lars Doelle (1):
Dave Peticolas (1):
Lars Knoll (1):
Abhijit Bhopatkar (1):
Dave Olszewski (1):
Dave O'Neill (1):
Li Hong (1):
Stephan Springl (1):
Darrin Thompson (1):
David Bryson (1):
Danijel Tasov (1):
Luc Heinrich (1):
Luciano Rocha (1):
Daniel Trstenjak (1):
Anders Waldenborg (1):
Luke Lu (1):
Marc Branchaud (1):
Fabrizio Chiarello (1):
Kent Engstrom (1):
veillette@yahoo.ca (1):
Daniel Drake (1):
David Meybohm (1):
Marcus Fritzsch (1):
Daniel Cordero (1):
Marek Zawirski (1):
Greg Louis (1):
Jyotirmoy Bhattacharya (1):
David Steven Tweed (1):
Govind Salinas (1):
Mark Hills (1):
Mark Hollomon (1):
Ivan Stankovic (1):
Mark Lodato (1):
Dan Nicholson (1):
Markus Amsler (1):
Dan Loewenherz (1):
Irina Riesen (1):
Martin Atukunda (1):
Dan Holmsand (1):
Dan Hensgen (1):
Steven Drake (1):
Martin Sivak (1):
Martin Storsjö (1):
Cristian Peraferrer (1):
Junichi Uekawa (1):
Mathias Megyei (1):
Flavio Poletti (1):
Willy Tarreau (1):
SungHyun Nam (1):
Alexey Guzeev (1):
Julien Danjou (1):
Matthew Wilcox (1):
Sverre Hvammen Johansen (1):
Imre Deak (1):
João Abecasis (1):
Matthieu Castet (1):
Christian Jaeger (1):
Tarmigan Casebolt (1):
Joshua Williams (1):
Michael Dressel (1):
Imran M Yousuf (1):
Michael Gebetsroither (1):
Christian Engwer (1):
Christian Biesinger (1):
Alexey Borzenkov (1):
Michael Lai (1):
Josh Elsasser (1):
Michael Milligan (1):
Michael Poole (1):
Michael Prokop (1):
Chris Wedgwood (1):
Deskin Miler (1):
